title	is_fake
Москвичу Владимиру Клутину пришёл счёт за вмешательство в американские выборы	1
Агент Кокорина назвал езду по встречке житейской историей	0
Госдума рассмотрит возможность введения секретных статей Уголовного кодекса	1
ФАС заблокировала поставку скоростных трамваев для Москвы	0
Против Навального завели дело о недоносительстве на Волкова	1
Российским студентам запретят учиться за рубежом	1
Путин пишет книгу об истории Украины	1
Россияне обхитрили рост цен	0
Звезда «Ворониных» раскрыл подробности о своем состоянии	0
Microsoft объявила дату выхода очков дополненной реальности Hololens	0
Марат Хуснуллин призвал прописать в законе понятие многонационального дома	1
Для проведения профилактических работ с 15 по 19 сентября в России отключат интернет	1
В России введут обязательный техосмотр садового инвентаря	1
Топилин провозгласил окончание зарплатного кризиса в России	0
Режиссера Алексея Германа наградили орденом	0
Олаф Шольц: «Дед рассказывал, какие вкусные на Украине куры, молоко и яйца»	1
Беглов: «Петербург был основан до нашей эры, он на полторы тысячи лет старше Москвы»	1
В случае дефицита препарата «ЭпиВакКорона» в храмах РПЦ проведут вакцинацию святой водой	1
Энтони Андерсон стал молодым папашей	0
Люксембург вышлет из страны собаку российского дипломата	1
Ubisoft анонсировала новую часть игры Ghost Recon	0
На Байконуре сломали малайзийский спутник	0
Покемоны одолели Killzone 3 и Bulletstorm в британских чартах	0
В Израиле возбудили уголовное дело против Виктора Шендеровича за реабилитацию нацизма	1
Жителей села Париж признали иностранными агентами	1
Противник телевизоров создал абсолютное оружие против них	0
Во Франции заложили первый Мистраль для России	0
Ольга Бузова удостоена звания заслуженной артистки ДНР	1
Борис Джонсон пожаловался на двойников, которых регистрируют на выборы лейбористы	1
Американский институт кинематографии выбрал лучшие фильмы	0
В Ольгино объяснили большое количество комментариев под сообщением Володина о QR-кодах	1
Седьмая книга о Гарри Поттере уже побила рекорд продаж	0
Nexter и GTD будут вместе строить бронетранспортеры для Испании	0
Правительство РФ заставит компании снизить бонусы ради господдержки	0
Майкл Бэй извинился за кадры гибели пилотов в «Континууме»	0
U2 и Metallica сыграют на юбилее Зала славы рок-н-ролла	0
Анатолий Вассерман рассказал о попытке УГ сорвать его избрание в Госдуму	1
Физики взвесили антипротоны в атомкулах	0
Bloomberg сообщил о намерении России отложить размещение евробондов	0
Procter & Gamble переведет часть бизнеса в Сингапур	0
Инженеры Cisco Systems создали сорокаядерный процессор	0
Ученые отказались от классической гипотезы заселения Америки	0
В правительстве предложили объединить Татарстан и Башкортостан	1
На онлайн-свадьбах в 2020 году в России зафиксировано 518 случаев драк	1
Валерий Рашкин: Лося мне подбросили	1
С 1 января на сервисе Google Drive запретят хранить документы на русском языке	1
Месси почувствовал себя плохо в самолете	0
Зеленский назвал назначение Азарова на пост премьер-министра Украины новогодней шуткой	1
Интересы Газпромбанка защитят два американских сенатора	0
Алиса Теплякова планирует выйти на пенсию в 18 лет	1
Fox начала работу над экранизацией Вольтрона	0
В РПЦ призвали предать анафеме Илона Маска из-за обвала биткоина	1
Сырьевые валюты оказались устойчивы к падению цен на нефть и металлы	0
Российский велогонщик попался на допинге	0
Привившимся от коронавируса россиянам добавят две недели к отпуску	1
В центре Еревана снесли незаконный палаточный рынок	1
Белорусское телевидение включило рекламу в момент попадания таракана в трансляцию футбольного матча на Олимпиаде	1
Украина опустилась на четвертое место в отборочной группе Евро-2008	0
Greenpeace* предложил запретить СМИ указывать биологический вид вредителей	1
На Франкфуртской книжной ярмарке Россию представят 182 издательства	0
Из-за сбоя приложения «Моя конституция» в России могут ввести конституционную монархию	1
Ученые заглянули в прошлое марсианских океанов	0
На период предвыборной кампании из магазинов изымут книги Захара Прилепина	1
Группа Король и Шут даст концерты без одного из вокалистов	0
В Швейцарии найдено золото, которое Ленин получил от немцев на революцию в России	1
Мила Кунис станет ведьмой страны Оз	0
В Тбилиси начались столкновения между полицией и протестующими из-за приезда Познера	1
Оправданным в российских судах будут назначать условное наказание	1
Сибирские учёные создали полотенце с водоотталкивающими свойствами	1
ВМФ России в 2012 году пополнится тремя новыми подлодками	0
Росприроднадзор потребовал отозвать лицензии у британских нефтяников	0
Лана Дель Рей вдохновилась конфликтом США и КНДР и написала песню	0
Минпросвещения предложило пороть розгами участвующих в митингах школьников и студентов	1
«Барселона» вышла в четвертьфинал Лиги чемпионов	0
В Белоруссии запретили делать евроремонт	1
Минэнерго ФРГ выпустило обучающие ролики по пошиву тулупов	1
Российскую орбитальную станцию сформируют из пяти модулей	0
Ставший мемом дед Гарольд привязал к стулу доминирующую начальницу	0
Умерла поэтесса Андре Шедид	0
70-летняя аргентинка забеременела после прививки «Спутником V»	1
Доллар рухнул после отказа ФНБ от американской валюты	1
В Польше готовятся издать поэму Папы Римского	0
В Подмосковье третьи сутки ищут полицейского, поехавшего с проверкой на мусороперерабатывающий завод	1
Олимпийские винтовки Бьорндалена по ошибке отправили в Амстердам	0
Четырехкратная олимпийская чемпионка ушла из спорта в 26 лет	0
Станислав Черчесов назначен новым главным тренером сборной России по футболу	1
Чиновники утвердили одно из основных положений для отмены «мобильного рабства»	0
В Ухане в честь годовщины пандемии COVID-19 испекли самый большой в мире пирог из летучих мышей	1
Медведев решил ликвидировать РФФИ	0
Елизавета II посетила Кентерберийский завод колёсных тягачей и устроила разнос его руководству	1
Старую PlayStation расплавили c помощью газа и термита	0
Андрей Кондрашов снимет фильм «Минск. Дорога домой»	1
Чубайс попросил откачать у него вакцину Pfizer	1
Марк Цукерберг прибыл в Коростенский суд по иску мэра города против Facebook за негативные комментарии горожан под своими постами	1
Россиян обяжут страховать свои пенсионные накопления	1
Взрыв батареи мобильника убил китайца	0
Госдума в первом чтении убрала из Библии заповедь Не укради	1
Бывший форвард сборной ЮАР по футболу погиб в ДТП	0
Роберт Дауни-младший не будет сражаться с Чужими на Диком Западе	0
Австралия присоединилась к запрету на кассетные боеприпасы	0
Любовь Соболь пообещала продолжить борьбу в Сирии	1
Центробанк начнет размещать рекламу на новых купюрах	1
Саундтрек из «Великого Гэтсби» удержал лидерство в российском чарте iTunes	0
Центробанку предложили установить курс в 40 рублей за доллар	0
Либеральный и консервативный Иисусы оказались совершенно разными	0
Костя Цзю перейдет в другую весовую категорию	0
В России оценили число потенциальных банкротов	0
В московском метро найден бесхозный контрольный пакет акций «Норникеля»	1
Минздрав поблагодарил граждан, самостоятельно вакцинировавшихся в общественных местах	1
Православные активисты намерены сорвать лекцию по гомеоморфизму в МГУ	1
Депутаты Думы устроили давку и драку во время распродажи долларов по льготному курсу	1
«Пятёрочка» будет минировать дорогие товары для предотвращения их кражи	1
Игорь Моисеев отмечает 100-летний юбилей	0
Domestos разработает свой антивирус	1
Канцлер Германии спас от банкротства крупнейшую строительную фирму	0
Роспотребнадзор приостановил ввоз молочной продукции из Литвы	0
В России пометят все лекарства	0
Портал «Работа в России» потратит 20 млрд рублей на трудоустройство заключенных	1
Президент украинского клуба рассказал о желании купить Месси за 3 миллиона евро	0
Для предотвращения дальнейших испражнений на улицу в Петербурге демонтируют все балконы	1
Словари ABBYY Lingvo получили функцию видеоперевода	0
Мариинский театр поневоле присоединился к всеобщей забастовке в Италии	0
Начальные классы переведут на учебники арифметики Юрия Рыбникова	1
Медведев назвал «Газпром» «национальным достоянием»	0
Сильнейшие бейсболисты мира уличены в применении допинга	0
Игра про борьбу космических морпехов и ксеноморфов выйдет зимой 2013 года	0
Бардему предложили озвучить мультипликационного злодея	0
Активисты BLM раскритиковали Музей мадам Тюссо за «слишком белую» скульптуру Байдена	1
Один из новых городов Сибири построят на месте Омска	1
Поветкин рассказал о готовности к реваншу с Кличко	0
ВШЭ установила 90-процентную квоту при приёме девушек, представителей ЛГБТ и национальных меньшинств	1
Трамп заявил о планах создания партии Единая Америка	1
Цены на норвежскую красную рыбу достигли десятилетнего максимума	0
Лубянскую площадь перекроют 31 января из-за установки памятника Дзержинскому	1
В Москве пройдет фестиваль психоделического рока	0
Микроавтобус УАЗ на краш-тесте в Германии разбился, не доехав до бетонного блока	1
Сергей Иванов: У Литвы нет системы свой-чужой с российского истребителя	0
Депутаты предложили принудительно конвертировать все валютные вклады россиян в рубли из-за угрозы введения новых санкций	1
Burger King начнет продавать хот-доги	0
Директор Европейского института генетики: «Только расист может говорить, что наука чем-то обязана белым мышам»	1
Oxxxуmiron признался, что авторами текстов в его новом альбоме являются гострайтер и нейросеть	1
Причиной роста цен на бензин стал картельный сговор нефтяников	0
Задолженность по зарплатам в России выросла на шесть процентов	0
Николай Лукашенко назвал своим кумиром Джастина Трюдо	1
Футболист сборной Алжира ударил журналистку	0
На известной картине Леонардо да Винчи обнаружили QR-код	1
“Дальше с Божьей помощью”: в Москве мужчину не пустили в храм в инвалидной коляске	1
Бельгийский министр одобрил бегство французов от налогов	0
Олег Кашин назначен новым главой издательского дома «Комсомольская правда»	1
Джо Байден хотел потребовать освободить Навального, но забыл его имя	1
Людмила Путина потребовала половину дворца в Геленджике	1
Азербайджан увеличит военный бюджет в полтора раза	0
Шойгу предложил строить на месте сгоревшего леса города в Якутии	1
Христенко ошибочно заявил о рекордном падении в промышленности	0
Московские учёные допустили существование разумной формы жизни за пределами МКАД	1
Оперативники Агентства национальной безопасности Украины заменят балаклавы на традиционные японские маски	1
«Газпром» провёл газ в родную деревню Адольфа Гитлера	1
В ЦИК РФ предложили ввести допустимый лимит на ошибки при подсчете голосов	1
Правительство России дорого заплатит за федеральные целевые программы	0
Объявлен размер пенсии неработающих пенсионеров	0
Тренер российского клуба поклялся тремя детьми в честной игре	0
Правительство снизит пенсионный возраст на 2 года для вакцинированных граждан	1
Суд в Комсомольске-на-Амуре внес роман Островского «Как закалялась сталь» в список экстремистских материалов	1
«Единая Россия» не может укомплектовать фракцию в Госдуме из-за нежелания кандидатов принимать депутатский мандат	1
Владельца сети «Розовый кролик» не пустили в Австралию	1
Navistar поставит крупную партию грузовиков канадской армии	0
Для защиты Навального Эльману Пашаеву досрочно восстановят действие адвокатской лицензии	1
Лару Крофт лишили сюжетных дополнений	0
Камеру в Nexus 5 заставят работать быстрей	0
Путин рассказал о новых налоговых льготах для нефтяников	0
Армения к 2024 году перейдёт на кириллицу	1
Делегация движения «Талибан»* встретилась с воспитанниками «Юнармии»	1
Институт Виноградова рекомендует переименовать русский язык в российский	1
Владимир Мединский рассказал, почему термины Северная война и Семилетняя война равноправны	1
Инфляция с начала года перевалила за четыре процента	0
«Ридус» сообщил об обысках в Азиатско-Тихоокеанском банке	0
Курникова переигрывает сеяную теннисистку	0
Националист Просвирнин признан нежелательным на территории России	1
В Москве на месте «Б1 Maximum» откроется «ГлавКлуб»	0
В Лондоне вручены театральные премии Лоуренса Оливье	0
Гражданин Белоруссии испражнился на здание Международного суда ООН в Гааге	1
Российской фигуристке Ирине Слуцкой дали серебряную медаль	0
Минпросвещения перенесло старт ЕГЭ и ОГЭ на 31 января	1
Жена Билла Гейтса после развода получит корзину, обои и Internet Explorer	1
Автор песни American Pie арестован за домашнее насилие	0
Samsung выпустил экологичный терабайтный жесткий диск	0
У утконосых динозавров оказались отличные зубы	0
В День ВДВ власти Москвы введут QR-коды на купание в фонтанах	1
Фанаты Загитовой затравили еще одну олимпийскую призерку	0
Памфилова намекнула, что знает, как разрешить конфликт Брюхановой и Литвинович	1
Лихтенштейн помешает иностранцам уходить от налогов	0
Хоккеиста ударили в лицо за объятия с соперником	0
ФАС прекратила дело против Google	0
МКС и ЦУП не перейдут на зимнее время	0
Египетским водителям запретили включать двигатели около пирамид	0
WADA запретила спортсменам, привитым «Спутником V», выступать на Олимпиаде	1
Вышел второй трейлер «Чудо-женщины» с Галь Гадот	0
Брызгалов одержал 30-ю победу в сезоне	0
За последний год прокуратура не была с проверками в банке «Югра»	0
Менеджеры ЮКОСа сами ищут себе директоров	0
Джереми Айронс сыграет Генриха IV в телефильме	0
В России началась разработка Уголовного кодекса для антипрививочников	1
«Новатэк» попросил Кремль выделить 2-3 политзаключённых для обмена на арестованного в США топ-менеджера компании	1
В России могут запретить пьяную поножовщину после 22:00	1
Родившие мальчиков будут получать повышенный материнский капитал	1
Для эффективной борьбы с коронавирусом доктор Фаучи рекомендовал прислушаться к Кашпировскому	1
